Carrier,Month,DayofMonth,Median,Mean
AA,1,1,6.0,23.1033081834
AA,1,2,7.0,20.901836969
AA,1,3,2.0,15.607326846
AA,1,4,0.0,15.736
AA,1,5,1.0,18.6727509778
AA,1,6,4.0,23.1693121693
AA,1,7,0.0,25.5054945055
AA,1,8,0.0,19.2210526316
AA,1,9,-2.0,5.76123759486
AA,1,10,-1.0,7.96016166282
AA,1,11,-1.0,11.5619596542
AA,1,12,-2.0,3.49831649832
AA,1,13,-1.0,8.93515764426
AA,1,14,-1.0,10.390851187
AA,1,15,-3.0,3.21558289397
AA,1,16,-2.0,4.4097019287
AA,1,17,3.0,22.9867205543
AA,1,18,2.0,15.9026497696
AA,1,19,0.0,9.51042367182
AA,1,20,-2.0,5.52083333333
AA,1,21,2.0,24.2578215527
AA,1,22,4.0,24.8302107728
AA,1,23,0.0,17.3699590883
AA,1,24,0.0,10.0242634315
AA,1,25,0.0,15.2073732719
AA,1,26,-1.0,7.6404040404
AA,1,27,1.0,18.8830548926
AA,1,28,0.0,17.8285052144
AA,1,29,1.0,24.7372434018
AA,1,30,0.0,11.8862973761
AA,1,31,4.0,27.8716020821
AA,2,1,7.0,27.4887478361
AA,2,2,0.0,14.9520917679
AA,2,3,0.0,18.6499701849
AA,2,4,1.0,25.4310544612
AA,2,5,0.0,24.8823185012
AA,2,6,0.0,14.5565927655
AA,2,7,-0.5,10.8358381503
AA,2,8,3.0,17.9965397924
AA,2,9,-1.0,9.89562289562
AA,2,10,0.0,14.0345649583
AA,2,11,0.0,15.6359953704
AA,2,12,1.0,24.3512880562
AA,2,13,1.0,19.7334891876
AA,2,14,0.0,16.04626952
AA,2,15,3.0,18.16926632
AA,2,16,1.0,25.0287316048
AA,2,17,1.0,20.1134930643
AA,2,18,5.0,24.4741839763
AA,2,19,0.0,12.2549707602
AA,2,20,-2.0,5.98072429907
AA,2,21,1.0,15.1295546559
AA,2,22,2.0,17.4704861111
AA,2,23,0.0,13.2312879299
AA,2,24,0.0,12.2693682956
AA,2,25,0.0,17.1008695652
AA,2,26,0.0,15.4941314554
AA,2,27,-2.0,6.84655775963
AA,2,28,-1.0,8.57514450867
AA,2,29,0.0,16.5152914022
AA,3,1,-1.0,6.77777777778
AA,3,2,-1.0,11.8591044776
AA,3,3,8.0,25.2569605568
AA,3,4,0.0,10.80046811
AA,3,5,-1.0,9.84354932866
AA,3,6,0.0,8.00754060325
AA,3,7,9.0,29.6069565217
AA,3,8,5.0,30.3812997347
AA,3,9,3.0,20.041691483
AA,3,10,0.0,10.0313771063
AA,3,11,-2.0,4.44145199063
AA,3,12,-2.0,6.93407234539
AA,3,13,0.0,7.95251881876
AA,3,14,0.0,13.0109953704
AA,3,15,0.0,16.6962864721
AA,3,16,0.0,11.4428571429
AA,3,17,1.0,13.9726902963
AA,3,18,0.0,19.2835383714
AA,3,19,12.0,30.5265615879
AA,3,20,2.0,21.6284722222
AA,3,21,1.0,28.2118055556
AA,3,22,1.0,17.1539482415
AA,3,23,-1.0,12.8142857143
AA,3,24,-1.0,7.67459396752
AA,3,25,0.0,16.0216247808
AA,3,26,0.0,10.1792177466
AA,3,27,1.0,25.234375
AA,3,28,1.0,17.1476548929
AA,3,29,-0.5,8.08355437666
AA,3,30,4.0,26.5754323196
AA,3,31,7.0,31.5775711795
AA,4,1,0.0,16.9865418373
AA,4,2,-1.0,7.95438596491
AA,4,3,0.0,12.4165701043
AA,4,4,5.0,26.9646376812
AA,4,5,-1.0,11.1932270916
AA,4,6,0.0,14.49307646
AA,4,7,0.0,13.4564965197
AA,4,8,0.0,9.27736389685
AA,4,9,0.0,10.0200688073
AA,4,10,0.0,17.7478510029
AA,4,11,0.0,14.8063963449
AA,4,12,0.0,9.41212492345
AA,4,13,-1.0,9.1281451141
AA,4,14,-2.0,5.23081328751
AA,4,15,-3.0,2.62943871707
AA,4,16,-1.0,10.8361970218
AA,4,17,-1.0,10.7712155963
AA,4,18,0.0,9.65105653912
AA,4,19,-2.0,5.49724433558
AA,4,20,-1.0,9.39766081871
AA,4,21,-1.0,7.55358166189
AA,4,22,-2.0,5.343069874
AA,4,23,-1.0,9.00515759312
AA,4,24,0.0,11.439862543
AA,4,25,1.0,23.7154285714
AA,4,26,0.0,13.6295162278
AA,4,27,0.0,9.80280866004
AA,4,28,1.0,21.9375
AA,4,29,-2.0,5.56962750716
AA,4,30,-2.0,3.88640275387
AA,5,1,-1.0,7.85395189003
AA,5,2,15.0,42.3440366972
AA,5,3,0.0,10.8233128834
AA,5,4,-2.0,7.60526315789
AA,5,5,0.0,11.1088201604
AA,5,6,0.0,15.2729357798
AA,5,7,2.0,16.4246418338
AA,5,8,0.0,11.4011461318
AA,5,9,0.0,16.7272206304
AA,5,10,-1.0,7.65481299816
AA,5,11,1.0,16.8605741066
AA,5,12,0.0,12.9684813754
AA,5,13,-1.0,8.36827033219
AA,5,14,8.0,20.8069873998
AA,5,15,0.0,10.724513173
AA,5,16,2.0,17.9198626216
AA,5,17,-2.0,5.51256897609
AA,5,18,0.0,11.5099531616
AA,5,19,0.0,11.188646789
AA,5,20,0.0,8.75887743414
AA,5,21,-1.0,7.85166093929
AA,5,22,1.0,13.4612736661
AA,5,23,0.0,11.7239404353
AA,5,24,-1.0,8.92518703242
AA,5,25,-3.0,6.40270104359
AA,5,26,-2.0,6.93488372093
AA,5,27,0.0,39.843069874
AA,5,28,0.0,11.605730659
AA,5,29,-2.0,5.74326647564
AA,5,30,0.0,18.5831422018
AA,5,31,-1.0,11.9466257669
AA,6,1,-1.0,10.804631829
AA,6,2,-2.0,7.71553228621
AA,6,3,-1.0,17.8674486804
AA,6,4,0.0,17.450234192
AA,6,5,4.0,21.9521586931
AA,6,6,1.0,29.1037296037
AA,6,7,0.0,15.6766541823
AA,6,8,0.0,21.9630292188
AA,6,9,7.0,33.8559766764
AA,6,10,1.0,19.2973607038
AA,6,11,-1.0,10.5873388042
AA,6,12,0.0,13.6571760604
AA,6,13,2.0,21.7367809413
AA,6,14,0.0,11.9931378665
AA,6,15,3.0,25.8603683898
AA,6,16,1.0,21.1685066822
AA,6,17,3.0,22.7135325132
AA,6,18,0.0,19.2121566335
AA,6,19,25.0,44.271353864
AA,6,20,3.0,23.5223447475
AA,6,21,0.0,14.736875
AA,6,22,3.0,26.2621589561
AA,6,23,2.0,19.611272516
AA,6,24,0.0,12.4218841428
AA,6,25,0.0,18.2679929783
AA,6,26,1.0,18.0005807201
AA,6,27,2.0,19.7109692397
AA,6,28,1.0,24.4157303371
AA,6,29,6.0,27.6245551601
AA,6,30,0.0,14.6271777003
AA,7,1,-2.0,6.6783625731
AA,7,2,0.0,19.1403105233
AA,7,3,-1.0,8.8573893042
AA,7,4,-3.0,5.57078313253
AA,7,5,-3.0,4.7012987013
AA,7,6,-1.0,14.7375512595
AA,7,7,3.0,20.727481354
AA,7,8,0.0,18.5651924182
AA,7,9,1.0,15.733908046
AA,7,10,-1.0,16.8409873708
AA,7,11,-1.0,11.1775862069
AA,7,12,0.0,14.8742293465
AA,7,13,0.0,15.7145369285
AA,7,14,0.0,13.3689041882
AA,7,15,0.0,16.1560527826
AA,7,16,-1.0,10.4422745549
AA,7,17,-1.0,9.60240963855
AA,7,18,0.0,13.6923076923
AA,7,19,1.0,15.898336414
AA,7,20,0.0,14.2766705744
AA,7,21,0.0,10.9850746269
AA,7,22,0.0,11.4013761468
AA,7,23,0.0,13.8248133257
AA,7,24,5.0,29.2468427095
AA,7,25,0.0,12.5883027523
AA,7,26,-1.0,9.19482120838
AA,7,27,0.0,23.3892145369
AA,7,28,1.0,15.7998853211
AA,7,29,-1.0,8.32816982215
AA,7,30,2.0,20.8555811277
AA,7,31,2.0,21.2788296041
AA,8,1,1.0,15.5657894737
AA,8,2,1.0,17.6576687117
AA,8,3,0.0,14.3898305085
AA,8,4,0.0,24.6471935853
AA,8,5,0.0,13.4011461318
AA,8,6,0.0,9.41915137615
AA,8,7,0.0,15.8254149971
AA,8,8,0.0,13.0641099027
AA,8,9,-1.0,12.2493857494
AA,8,10,0.0,17.3160046729
AA,8,11,1.0,20.5600686499
AA,8,12,0.0,10.4630372493
AA,8,13,-2.0,6.73925501433
AA,8,14,0.0,17.8304696449
AA,8,15,13.0,38.8116771608
AA,8,16,0.0,14.4306748466
AA,8,17,0.0,11.0718457944
AA,8,18,0.0,13.3981693364
AA,8,19,-1.0,7.27017744705
AA,8,20,1.0,18.4275071633
AA,8,21,0.0,13.264604811
AA,8,22,0.0,15.323006311
AA,8,23,-1.0,11.4868017188
AA,8,24,-2.0,5.73801169591
AA,8,25,-2.0,5.94444444444
AA,8,26,-3.0,5.28350515464
AA,8,27,-2.0,5.96217765043
AA,8,28,-1.0,9.29226361032
AA,8,29,0.0,16.7254004577
AA,8,30,-2.0,7.99680918953
AA,8,31,-3.0,3.55157232704
AA,9,1,-3.0,4.69068541301
AA,9,2,-2.0,5.72526193248
AA,9,3,-3.0,2.30693677103
AA,9,4,-2.0,12.8737034777
AA,9,5,-3.0,4.63337393423
AA,9,6,-3.0,4.65425158117
AA,9,7,-3.0,4.31297229219
AA,9,8,-2.0,9.38485033598
AA,9,9,-2.0,8.86177370031
AA,9,10,-3.0,1.75351681957
AA,9,11,-3.0,3.33597560976
AA,9,12,-1.0,14.9262644729
AA,9,13,0.0,13.533005618
AA,9,14,0.0,16.7884130982
AA,9,15,-2.0,4.38034188034
AA,9,16,-3.0,1.68298653611
AA,9,17,-3.0,2.58277336591
AA,9,18,-3.0,1.53292682927
AA,9,19,-2.0,4.20475319927
AA,9,20,-3.0,1.63853727145
AA,9,21,-1.0,8.92375551355
AA,9,22,-3.0,2.61980440098
AA,9,23,-4.0,0.531498470948
AA,9,24,-3.0,6.30886850153
AA,9,25,-2.0,7.36912751678
AA,9,26,-1.0,14.8616697136
AA,9,27,-3.0,3.72050561798
AA,9,28,-2.0,8.23440453686
AA,9,29,-2.0,7.47557997558
AA,9,30,-3.0,2.92293577982
AA,10,1,-3.0,0.277130594727
AA,10,2,-3.0,1.8698296837
AA,10,3,-3.0,4.60948905109
AA,10,4,-3.0,1.88429172511
AA,10,5,-2.0,5.12767295597
AA,10,6,-2.0,3.89451219512
AA,10,7,-3.0,4.63347587049
AA,10,8,-2.0,5.8869883934
AA,10,9,-2.0,5.76824817518
AA,10,10,-2.0,3.70255474453
AA,10,11,-3.0,5.57012622721
AA,10,12,-3.0,4.06603773585
AA,10,13,-3.0,3.44573170732
AA,10,14,-2.0,3.36285888821
AA,10,15,-1.0,12.1545510079
AA,10,16,-1.0,6.44586374696
AA,10,17,-2.0,4.62165450122
AA,10,18,-3.0,3.65287517532
AA,10,19,-2.0,6.15157232704
AA,10,20,-2.0,6.23902439024
AA,10,21,-3.0,3.32905982906
AA,10,22,-2.0,5.56933414783
AA,10,23,-2.0,4.88442822384
AA,10,24,-2.0,5.74270072993
AA,10,25,-2.0,7.14656381487
AA,10,26,-1.0,9.75251889169
AA,10,27,-1.0,9.38034188034
AA,10,28,-2.0,6.5204642639
AA,10,29,-3.0,3.57116676848
AA,10,30,-2.0,4.92883211679
AA,10,31,-3.0,3.5395377129
AA,11,1,-3.0,3.24353448276
AA,11,2,-3.0,5.86466666667
AA,11,3,-3.0,3.01346153846
AA,11,4,-4.0,0.390180878553
AA,11,5,-3.0,3.27966645285
AA,11,6,-2.0,12.0403071017
AA,11,7,-1.0,11.5549872123
AA,11,8,-2.0,6.97730711044
AA,11,9,-2.0,5.44934210526
AA,11,10,-2.0,8.94551282051
AA,11,11,-1.0,7.34302325581
AA,11,12,-2.0,10.0128287364
AA,11,13,-2.0,6.74280230326
AA,11,14,-1.0,8.63299232737
AA,11,15,-3.0,3.65960665658
AA,11,16,-2.0,6.33618421053
AA,11,17,-2.0,3.99358974359
AA,11,18,-3.0,0.613049095607
AA,11,19,-3.0,2.94932649134
AA,11,20,-2.0,5.16273133376
AA,11,21,-2.0,5.58290816327
AA,11,22,-2.5,2.67624810893
AA,11,23,-3.0,2.09592641261
AA,11,24,-3.0,3.04673495519
AA,11,25,-2.0,3.73067010309
AA,11,26,-3.0,0.729660474055
AA,11,27,-3.0,2.20437956204
AA,11,28,-3.0,2.11103202847
AA,11,29,-2.0,3.88577912254
AA,11,30,3.0,31.3379265092
AA,12,1,5.0,36.3399487836
AA,12,2,-1.0,6.43935483871
AA,12,3,-2.0,5.35105701473
AA,12,4,-2.0,4.10472541507
AA,12,5,-3.0,3.74137931034
AA,12,6,-2.0,4.12405446293
AA,12,7,-2.0,7.06570302234
AA,12,8,-2.0,4.89692701665
AA,12,9,-2.0,9.34451612903
AA,12,10,-1.0,9.47789878283
AA,12,11,-1.0,9.31757188498
AA,12,12,-2.0,9.99489144317
AA,12,13,-2.0,3.33257918552
AA,12,14,-2.0,9.11300919842
AA,12,15,0.0,13.7451984635
AA,12,16,11.0,29.7425806452
AA,12,17,2.0,19.3659628919
AA,12,18,4.0,21.5757575758
AA,12,19,4.0,24.4890419537
AA,12,20,5.0,27.5921828909
AA,12,21,8.0,28.3844660194
AA,12,22,5.0,22.3761814745
AA,12,23,5.0,24.0639645345
AA,12,24,5.0,24.8028846154
AA,12,25,-1.0,10.6659891599
AA,12,26,0.0,20.3259773014
AA,12,27,15.0,45.4151917404
AA,12,28,0.0,10.2433656958
AA,12,29,-2.0,5.73392181589
AA,12,30,-1.0,7.99746675111
AA,12,31,-1.0,11.4201183432
MQ,1,1,1.0,28.2373351839
MQ,1,2,7.0,20.544005544
MQ,1,3,-1.0,5.078581363
MQ,1,4,-2.0,4.25644599303
MQ,1,5,-1.0,9.47651006711
MQ,1,6,0.0,15.3086330935
MQ,1,7,-1.0,13.6108408617
MQ,1,8,0.0,19.0145631068
MQ,1,9,-2.0,5.67453157529
MQ,1,10,-2.0,9.89736477115
MQ,1,11,-2.0,9.93815149409
MQ,1,12,-4.0,1.52432885906
MQ,1,13,-2.0,3.31582733813
MQ,1,14,-2.0,11.0228848821
MQ,1,15,-3.0,4.41707147814
MQ,1,16,-3.0,2.03263888889
MQ,1,17,0.0,24.2743055556
MQ,1,18,0.0,16.2783576896
MQ,1,19,-1.0,7.57250628667
MQ,1,20,-1.0,6.75035971223
MQ,1,21,0.0,19.1826388889
MQ,1,22,5.0,25.6879777623
MQ,1,23,0.0,18.3530229326
MQ,1,24,-1.0,6.60610263523
MQ,1,25,0.0,13.1111883252
MQ,1,26,1.0,18.331092437
MQ,1,27,3.0,33.5759539237
MQ,1,28,0.0,15.600277585
MQ,1,29,0.0,17.8757807078
MQ,1,30,-1.0,10.5399028452
MQ,1,31,0.0,25.8271092669
MQ,2,1,2.0,30.8648648649
MQ,2,2,0.0,14.8854262145
MQ,2,3,0.0,13.7126518942
MQ,2,4,0.0,12.1976421637
MQ,2,5,2.0,27.3584775087
MQ,2,6,0.0,14.9487534626
MQ,2,7,0.0,17.8996539792
MQ,2,8,0.0,14.0589459085
MQ,2,9,-3.0,1.95600366636
MQ,2,10,-1.0,11.9549356223
MQ,2,11,1.0,22.3220221607
MQ,2,12,0.0,29.8871191136
MQ,2,13,2.0,17.5301038062
MQ,2,14,-1.0,6.6673582296
MQ,2,15,0.0,12.4080499653
MQ,2,16,0.0,22.0083487941
MQ,2,17,0.0,14.6772525849
MQ,2,18,4.0,28.3189113747
MQ,2,19,0.0,13.2503457815
MQ,2,20,-2.0,4.66459197787
MQ,2,21,2.0,17.4099722992
MQ,2,22,5.0,21.0963270963
MQ,2,23,-2.0,5.94332723949
MQ,2,24,-2.0,5.43817012152
MQ,2,25,0.0,13.2088520055
MQ,2,26,0.0,16.306362379
MQ,2,27,-2.0,6.62119113573
MQ,2,28,-2.0,3.94536652835
MQ,2,29,0.0,20.1955617198
MQ,3,1,-3.0,2.39010989011
MQ,3,2,-3.0,5.36819172113
MQ,3,3,0.0,16.382559775
MQ,3,4,0.0,14.6109550562
MQ,3,5,-2.0,5.38342696629
MQ,3,6,-1.0,6.52112676056
MQ,3,7,6.0,27.2711267606
MQ,3,8,0.0,16.608897127
MQ,3,9,2.5,17.0174672489
MQ,3,10,0.0,8.70935960591
MQ,3,11,0.0,22.4624033732
MQ,3,12,-3.0,4.48382559775
MQ,3,13,-2.0,4.01687763713
MQ,3,14,-1.5,7.53169014085
MQ,3,15,-2.0,8.03607770583
MQ,3,16,-1.0,9.09658678286
MQ,3,17,0.0,12.5549295775
MQ,3,18,0.0,19.7751229796
MQ,3,19,10.0,28.117357695
MQ,3,20,-1.0,10.6416022488
MQ,3,21,0.0,22.8851303735
MQ,3,22,0.0,16.586493987
MQ,3,23,-1.0,7.25689404935
MQ,3,24,-1.0,5.96697118763
MQ,3,25,1.0,19.0990168539
MQ,3,26,-3.0,2.3811533052
MQ,3,27,0.0,17.2004219409
MQ,3,28,2.0,19.187895848
MQ,3,29,-2.0,3.58133086876
MQ,3,30,1.0,21.522875817
MQ,3,31,5.0,29.4771609276
MQ,4,1,1.0,16.1166549543
MQ,4,2,-2.0,3.71820098384
MQ,4,3,-1.0,8.3478566409
MQ,4,4,3.0,19.912033779
MQ,4,5,-2.0,6.88148148148
MQ,4,6,-1.0,9.57848837209
MQ,4,7,-2.0,6.13136176066
MQ,4,8,-1.0,11.8840877915
MQ,4,9,0.0,11.7747252747
MQ,4,10,5.0,27.0735395189
MQ,4,11,2.0,18.0706932052
MQ,4,12,-2.0,7.13215859031
MQ,4,13,-2.0,7.01412429379
MQ,4,14,-3.0,3.77160493827
MQ,4,15,-3.0,4.23541523679
MQ,4,16,-2.0,8.15843621399
MQ,4,17,-3.0,5.6975308642
MQ,4,18,-1.0,9.690459849
MQ,4,19,-3.0,3.96830985915
MQ,4,20,-2.0,8.54622441778
MQ,4,21,-3.0,5.29698216735
MQ,4,22,-3.0,1.80795610425
MQ,4,23,-2.0,5.54458161866
MQ,4,24,-1.0,6.54046639232
MQ,4,25,0.0,22.8632302405
MQ,4,26,0.0,13.4245366284
MQ,4,27,-1.0,8.87076271186
MQ,4,28,0.0,16.1991758242
MQ,4,29,-3.0,3.11179698217
MQ,4,30,-3.0,2.00960219479
MQ,5,1,-3.0,1.92181069959
MQ,5,2,2.5,31.5185694635
MQ,5,3,-1.0,9.49956784788
MQ,5,4,-3.0,4.13055751588
MQ,5,5,-2.0,9.19547325103
MQ,5,6,-2.0,8.4896978022
MQ,5,7,1.0,18.6108442004
MQ,5,8,-1.0,7.28600823045
MQ,5,9,-1.0,9.00962199313
MQ,5,10,-3.0,2.02079722704
MQ,5,11,0.0,15.4777699365
MQ,5,12,-2.0,7.0398078243
MQ,5,13,-2.0,6.74554183813
MQ,5,14,2.0,17.2012362637
MQ,5,15,-2.0,4.96021947874
MQ,5,16,-1.0,8.09752747253
MQ,5,17,-3.0,2.74090121317
MQ,5,18,-3.0,2.94217207334
MQ,5,19,-3.0,4.01166781057
MQ,5,20,-2.0,5.71742112483
MQ,5,21,-2.0,3.95816186557
MQ,5,22,-1.0,8.22031571723
MQ,5,23,-2.0,7.68887362637
MQ,5,24,-3.0,5.23330442324
MQ,5,25,-4.0,1.2913446677
MQ,5,26,-3.0,2.19833564494
MQ,5,27,0.0,21.1408934708
MQ,5,28,-2.0,6.01920438957
MQ,5,29,-3.0,1.63143445436
MQ,5,30,0.0,17.3003436426
MQ,5,31,-2.0,6.26347826087
MQ,6,1,-2.0,7.15800273598
MQ,6,2,-3.0,2.35809018568
MQ,6,3,0.0,14.5278145695
MQ,6,4,0.0,18.3803843605
MQ,6,5,1.0,17.3125827815
MQ,6,6,0.0,18.1769383698
MQ,6,7,0.0,12.3863080685
MQ,6,8,0.0,19.4765146358
MQ,6,9,3.0,23.4777998675
MQ,6,10,0.0,14.2922465209
MQ,6,11,-1.0,8.86953642384
MQ,6,12,-1.0,9.7049071618
MQ,6,13,0.0,14.764940239
MQ,6,14,-1.0,10.5142624287
MQ,6,15,2.0,23.3324250681
MQ,6,16,0.0,15.2352551359
MQ,6,17,0.0,19.2916943522
MQ,6,18,-2.0,6.37044400265
MQ,6,19,0.0,25.7796947578
MQ,6,20,0.0,13.200265252
MQ,6,21,-2.0,7.3306122449
MQ,6,22,0.0,15.54390742
MQ,6,23,-1.0,8.1351888668
MQ,6,24,-2.0,6.64966887417
MQ,6,25,0.0,12.6374501992
MQ,6,26,0.0,16.0795228628
MQ,6,27,1.0,14.5135851557
MQ,6,28,0.0,16.9347471452
MQ,6,29,3.0,21.1865214432
MQ,6,30,0.0,9.56622516556
MQ,7,1,-3.0,3.47140957447
MQ,7,2,-1.0,13.5629973475
MQ,7,3,-1.0,7.85278514589
MQ,7,4,-4.0,0.245849802372
MQ,7,5,-4.0,0.694421988682
MQ,7,6,-2.0,5.49454297408
MQ,7,7,0.0,15.2582781457
MQ,7,8,-1.0,12.8601722995
MQ,7,9,0.0,13.8377483444
MQ,7,10,-1.0,16.1390728477
MQ,7,11,0.0,11.8301260783
MQ,7,12,0.0,9.57831325301
MQ,7,13,0.0,12.0299931834
MQ,7,14,0.0,11.4754966887
MQ,7,15,-3.0,6.61523178808
MQ,7,16,-2.0,5.13262599469
MQ,7,17,-2.5,3.62649006623
MQ,7,18,0.0,11.9449236894
MQ,7,19,0.0,12.8194221509
MQ,7,20,-1.0,9.97818677573
MQ,7,21,-1.0,8.1701986755
MQ,7,22,-1.0,6.94900662252
MQ,7,23,-2.0,3.27880794702
MQ,7,24,0.0,13.5616710875
MQ,7,25,0.0,10.4568393094
MQ,7,26,-2.0,4.72083668544
MQ,7,27,-1.0,10.3133105802
MQ,7,28,-1.0,10.2046357616
MQ,7,29,-3.0,3.95427435388
MQ,7,30,-1.0,11.598806366
MQ,7,31,0.0,19.8869680851
MQ,8,1,1.0,15.5051334702
MQ,8,2,-2.0,7.848059455
MQ,8,3,-1.0,8.18987341772
MQ,8,4,0.0,19.860259032
MQ,8,5,1.0,16.2788002727
MQ,8,6,-2.0,4.66643929059
MQ,8,7,-2.0,7.40695296524
MQ,8,8,-2.0,7.38744884038
MQ,8,9,-2.0,5.46166529266
MQ,8,10,0.0,12.9655657063
MQ,8,11,0.0,15.4945504087
MQ,8,12,-2.0,4.9121253406
MQ,8,13,-4.0,0.523841961853
MQ,8,14,-2.0,7.07907293797
MQ,8,15,0.0,16.8785811733
MQ,8,16,-2.0,4.72757201646
MQ,8,17,-3.0,2.07800421644
MQ,8,18,-3.0,2.92024539877
MQ,8,19,-3.0,3.29904632153
MQ,8,20,-2.0,9.52182810368
MQ,8,21,-3.0,4.99113837764
MQ,8,22,-2.0,9.53137789905
MQ,8,23,-3.0,2.88540807914
MQ,8,24,-3.0,4.10189739986
MQ,8,25,-3.0,3.98091342877
MQ,8,26,-3.0,5.10694822888
MQ,8,27,-4.0,1.76209952284
MQ,8,28,-3.0,2.79822767553
MQ,8,29,-2.0,8.09624573379
MQ,8,30,-4.0,1.5565529623
MQ,8,31,-4.0,2.08413461538
MQ,9,1,-3.0,1.77642857143
MQ,9,2,-2.0,4.57544581619
MQ,9,3,-4.0,2.03837638376
MQ,9,4,-2.0,12.2742054693
MQ,9,5,-4.0,0.569948186528
MQ,9,6,-4.0,2.57699443414
